time,temp_2m_south,temp_2m_north,temp_2m_east,temp_2m_west
2023-04-12 01:00:00,73.26831200000005,72.28076000000009,69.85760000000008,79.12502600000008
2023-04-12 02:00:00,70.917746,68.8478,67.42387400000003,76.44722000000002
2023-04-12 03:00:00,66.55199000000005,63.71553200000007,65.05448000000004,68.03344400000007
2023-04-12 04:00:00,65.10448400000004,61.93158800000005,64.03658000000006,67.05967999999999
2023-04-12 05:00:00,64.00598000000006,60.07724600000004,62.52067400000004,66.29216
2023-04-12 06:00:00,62.65376600000003,58.35212600000007,61.32434000000006,65.49917000000003
2023-04-12 07:00:00,62.08840399999999,57.98903000000003,61.16957600000005,64.24678400000008
2023-04-12 08:00:00,61.09223000000001,56.25813200000001,59.74646000000007,63.00446000000007
2023-04-12 09:00:00,59.17719200000007,55.89761000000002,59.274968,60.048680000000026
2023-04-12 10:00:00,57.38693000000004,52.16234000000001,58.077320000000064,55.00623200000005
2023-04-12 11:00:00,57.38423,51.87689600000006,57.99963200000006,54.79959200000004
2023-04-12 12:00:00,57.12501200000004,51.34877600000002,57.703226000000065,54.60353600000002
2023-04-12 13:00:00,57.885619999999996,52.93031,59.09673200000001,54.703454000000065
2023-04-12 14:00:00,61.56464000000001,59.577656000000005,63.30783200000009,57.609230000000004
2023-04-12 15:00:00,68.81090000000006,67.45364600000006,68.77567400000008,66.71310800000008
2023-04-12 16:00:00,71.58848000000003,71.20952600000001,70.97547200000005,72.46137200000001
2023-04-12 17:00:00,73.20212600000006,73.19872400000006,72.01741999999999,75.48036800000008
2023-04-12 18:00:00,75.19609400000004,74.66567000000009,73.57164800000005,78.22337000000007
2023-04-12 19:00:00,76.45996400000007,76.05104000000001,74.09827400000007,80.11058000000007
2023-04-12 20:00:00,77.43668000000007,77.2727,74.40886400000008,81.43039400000006
2023-04-12 21:00:00,78.43280000000009,78.16789400000006,74.19462800000001,83.91974000000006
2023-04-12 22:00:00,78.08522000000006,77.56178000000008,69.26819000000008,83.0273
2023-04-12 23:00:00,77.91116000000007,77.03492000000003,68.42264000000002,83.01066800000004
2023-04-13 00:00:00,76.94870000000009,76.01647999999999,68.42901200000009,82.20002000000007
2023-04-13 01:00:00,74.44752800000006,73.76511200000007,66.68852000000005,80.75039000000001
2023-04-13 02:00:00,72.22400600000003,70.74739400000006,64.79967200000009,78.83052800000007
2023-04-13 03:00:00,68.31705200000006,66.16900400000009,63.06602000000007,70.909394
2023-04-13 04:00:00,66.46953200000002,63.57829999999999,62.47853600000002,68.53683200000003
2023-04-13 05:00:00,65.50826,61.52156599999999,61.90444400000003,67.56591200000004
2023-04-13 06:00:00,64.62075200000008,59.85780800000001,61.405987999999994,67.33823000000005
2023-04-13 07:00:00,63.92867000000003,59.57249000000005,60.34103600000002,66.45965
2023-04-13 08:00:00,62.910626000000015,58.33580000000005,59.03816000000004,64.56533000000005
2023-04-13 09:00:00,61.13408000000004,57.172586000000045,58.98380000000007,61.13696000000003
2023-04-13 10:00:00,58.841186000000086,54.48241399999999,57.080246,57.56450000000008
2023-04-13 11:00:00,58.951760000000036,54.487688000000084,57.271406,57.58178000000004
2023-04-13 12:00:00,59.063324000000044,54.55727600000007,57.24008600000009,57.47030600000001
2023-04-13 13:00:00,59.496620000000064,55.15880000000008,58.236116000000024,57.47342000000002
2023-04-13 14:00:00,62.99967200000009,60.42947,62.797964000000015,60.48467600000008
2023-04-13 15:00:00,69.18524600000003,67.75147400000006,68.32792400000002,70.12733
2023-04-13 16:00:00,71.84537600000002,71.62163600000001,70.44488600000001,74.04972800000006
2023-04-13 17:00:00,74.47269200000008,74.45498000000008,72.08465,77.24235200000008
2023-04-13 18:00:00,76.12934,76.42551200000008,73.61664800000001,79.49629400000006
2023-04-13 19:00:00,77.92646,77.88713000000006,74.19628400000002,80.36290400000004
2023-04-13 20:00:00,79.15632800000004,79.17742400000009,73.98535999999999,81.86802800000007
