TIME,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
01/01/2023 01:00,"8,514.64","1,218.51","5,073.53",917.39,"9,896.76","2,859.02","6,012.40","1,116.93","35,609.17"
01/01/2023 02:00,"8,345.63","1,179.89","5,016.77",906.85,"9,675.87","2,845.78","5,934.08","1,107.42","35,012.30"
01/01/2023 03:00,"8,125.71","1,151.14","5,016.30",894.82,"9,490.33","2,734.16","5,855.79","1,101.32","34,369.58"
01/01/2023 04:00,"7,995.08","1,153.31","5,038.00",891.73,"9,420.89","2,555.34","5,840.91","1,105.46","34,000.73"
01/01/2023 05:00,"7,906.92","1,168.78","4,994.50",896.89,"9,430.78","2,484.78","5,873.68","1,108.74","33,865.08"
01/01/2023 06:00,"7,889.55","1,156.23","4,948.34",906.32,"9,571.44","2,470.11","5,993.19","1,132.45","34,067.63"
01/01/2023 07:00,"7,934.47","1,212.18","4,840.27",920.10,"9,766.06","2,611.11","6,141.06","1,156.03","34,581.28"
01/01/2023 08:00,"7,935.77","1,241.09","4,800.17",937.09,"10,043.03","2,606.58","6,334.34","1,198.19","35,096.25"
01/01/2023 09:00,"8,123.64","1,290.59","4,869.88",889.45,"10,352.36","2,608.05","6,397.17","1,203.28","35,734.40"
01/01/2023 10:00,"8,457.02","1,310.22","4,961.06",950.20,"10,448.81","2,809.72","6,340.60","1,162.21","36,439.85"
01/01/2023 11:00,"8,817.69","1,319.88","5,052.53",898.52,"10,441.67","2,900.61","6,207.01","1,106.14","36,744.05"
01/01/2023 12:00,"9,186.86","1,321.33","5,110.74",851.86,"10,578.38","2,982.91","6,035.22","1,062.06","37,129.35"
01/01/2023 13:00,"9,484.78","1,321.11","5,132.88",908.57,"10,710.69","3,149.70","5,966.07","1,038.43","37,712.23"
01/01/2023 14:00,"9,751.88","1,334.79","4,952.66",834.00,"10,734.52","3,359.94","6,002.53","1,013.02","37,983.33"
01/01/2023 15:00,"10,018.24","1,314.13","4,998.43",830.52,"10,780.91","3,569.06","6,125.76","1,009.19","38,646.24"
01/01/2023 16:00,"10,206.58","1,354.51","5,073.39",909.87,"10,927.81","3,638.95","6,252.28","1,015.46","39,378.86"
01/01/2023 17:00,"10,222.85","1,373.40","4,955.97",883.63,"11,026.89","3,696.09","6,416.12","1,021.69","39,596.64"
01/01/2023 18:00,"10,358.77","1,391.41","4,835.87",878.73,"11,448.09","3,628.51","6,646.46","1,053.71","40,241.54"
01/01/2023 19:00,"10,662.36","1,465.75","4,980.79",969.78,"11,909.31","3,602.49","6,906.75","1,097.76","41,594.99"
